Tanggal,QTY
11/12/2018,50
11/13/2018,0
11/14/2018,310
11/15/2018,80
11/18/2018,5
11/19/2018,20
11/21/2018,295
11/25/2018,1020
11/26/2018,50
11/28/2018,345
11/29/2018,5.05
12/2/2018,135
12/3/2018,27.5
12/4/2018,725
12/5/2018,10
12/6/2018,355
12/7/2018,220
12/9/2018,805
12/10/2018,75
12/11/2018,585
12/12/2018,10
12/14/2018,40
12/16/2018,250
12/17/2018,100
12/19/2018,425
12/20/2018,35
12/22/2018,0
12/23/2018,90
12/25/2018,725
12/26/2018,200
12/27/2018,355
1/2/2019,240
1/3/2019,95
1/6/2019,1580
1/7/2019,490
1/8/2019,250
1/10/2019,260
1/12/2019,560
1/13/2019,10
1/14/2019,480
1/15/2019,700
1/16/2019,1335
1/17/2019,415
1/20/2019,765
1/21/2019,420
1/22/2019,540
1/23/2019,790
1/27/2019,160
1/28/2019,740
1/29/2019,110
1/30/2019,505
1/31/2019,3040
2/1/2019,0.75
2/2/2019,15
2/3/2019,60
2/5/2019,100
2/6/2019,1480
2/7/2019,525
2/9/2019,560
2/10/2019,1445
2/11/2019,10
2/12/2019,855
2/14/2019,1690
2/17/2019,50
2/18/2019,15
2/19/2019,125
2/20/2019,770
2/21/2019,1434.5
2/24/2019,855
2/25/2019,75
2/26/2019,485
2/27/2019,345
2/28/2019,705
3/1/2019,175
3/2/2019,5
3/3/2019,445
3/4/2019,860
3/5/2019,899.5
3/6/2019,82
3/7/2019,985
3/9/2019,25
3/11/2019,1050
3/12/2019,810
3/13/2019,645
3/14/2019,315
3/15/2019,45
3/16/2019,105
3/17/2019,844
3/18/2019,320
3/19/2019,16
3/21/2019,75
3/22/2019,325
3/23/2019,20
3/24/2019,422.5
3/25/2019,597.1
3/26/2019,1070
3/27/2019,130
3/29/2019,1020
3/31/2019,1245
4/1/2019,335
4/2/2019,207
4/4/2019,355
4/5/2019,1455
4/6/2019,304
4/8/2019,489
4/9/2019,605
4/10/2019,750
4/11/2019,215
4/12/2019,332
4/13/2019,5.5
4/14/2019,25
4/15/2019,475
4/16/2019,795
4/18/2019,1795
4/19/2019,485
4/20/2019,1025
4/21/2019,985
4/22/2019,349
4/23/2019,1334.4
4/24/2019,1275
4/25/2019,1694
4/26/2019,1471
4/27/2019,896
4/28/2019,525
4/29/2019,435
4/30/2019,838
5/2/2019,915
5/3/2019,255
5/4/2019,282
5/5/2019,607.5
5/7/2019,228.55
5/8/2019,879
5/9/2019,654
5/11/2019,731
5/12/2019,357
5/13/2019,912
5/14/2019,430
5/15/2019,1008
5/16/2019,450
5/18/2019,962.5
5/19/2019,630
5/20/2019,705
5/21/2019,1156
5/22/2019,1110.5
5/23/2019,625
5/24/2019,40
5/25/2019,505
5/26/2019,583
5/27/2019,708
5/28/2019,970
5/29/2019,504.5
5/30/2019,1052
6/1/2019,652
6/2/2019,91
6/18/2019,665
6/19/2019,935
6/20/2019,265
6/22/2019,130
6/23/2019,595
6/24/2019,350
6/25/2019,110
6/26/2019,285
6/27/2019,705
6/28/2019,680
6/30/2019,1082.5
7/1/2019,135
7/2/2019,210
7/3/2019,55.5
7/4/2019,527
7/5/2019,15
7/6/2019,0.5
7/7/2019,665
7/8/2019,77
7/9/2019,413.5
7/10/2019,52.5
7/11/2019,562.5
7/12/2019,485
7/13/2019,5
7/14/2019,245
7/15/2019,220
7/18/2019,235.5
7/19/2019,542
7/20/2019,20
7/21/2019,175
7/22/2019,320
7/24/2019,360
7/25/2019,250
7/26/2019,10.1
7/29/2019,75
7/30/2019,850
7/31/2019,125
8/1/2019,465
8/2/2019,464.5
8/3/2019,11.5
8/4/2019,419.5
8/5/2019,25
8/6/2019,2.5
8/7/2019,98
8/8/2019,145
8/9/2019,280
8/13/2019,403
8/14/2019,985
8/15/2019,20
8/16/2019,152
8/20/2019,115
8/21/2019,40
8/22/2019,105
8/25/2019,525
8/26/2019,40
8/27/2019,10
8/28/2019,465
8/29/2019,317
8/30/2019,1038
8/31/2019,615
9/2/2019,27.6
9/3/2019,262
9/4/2019,330
9/5/2019,6
9/6/2019,6.1
9/7/2019,8
9/8/2019,125
9/9/2019,1
9/10/2019,130.5
9/11/2019,10
9/12/2019,500
9/14/2019,2
9/15/2019,30
9/16/2019,35
9/17/2019,560
9/18/2019,477
9/19/2019,25
9/20/2019,41
9/22/2019,635
9/23/2019,5
9/24/2019,1189
9/29/2019,1250
10/1/2019,550
10/4/2019,600
10/7/2019,62
10/8/2019,200
10/10/2019,40
10/12/2019,15
10/13/2019,230
10/14/2019,30
10/15/2019,5
10/16/2019,810
10/17/2019,150
10/18/2019,300
10/19/2019,550
10/20/2019,630
10/21/2019,335
10/22/2019,510
10/23/2019,375
10/24/2019,0
10/25/2019,435
10/27/2019,250
10/29/2019,415
10/30/2019,895
10/31/2019,1440
11/2/2019,5
11/3/2019,7
11/5/2019,205
11/6/2019,250
11/11/2019,105
11/12/2019,195
11/15/2019,545
11/16/2019,17
11/17/2019,530
11/18/2019,450
11/19/2019,1005
11/20/2019,930
11/21/2019,410
11/22/2019,600
11/24/2019,1325
11/25/2019,340
11/26/2019,570
11/27/2019,150
11/28/2019,540
11/30/2019,810
12/3/2019,682
12/4/2019,845
12/5/2019,495
12/6/2019,375
12/7/2019,55
12/8/2019,200
12/10/2019,500
12/11/2019,930
12/13/2019,95
12/15/2019,152.5
12/16/2019,10
12/18/2019,740
12/19/2019,125
12/21/2019,490
12/22/2019,905
12/23/2019,420
12/25/2019,615
12/26/2019,8
12/27/2019,1710
12/28/2019,1515
12/29/2019,1160
12/30/2019,1305
1/3/2020,60
1/6/2020,25
1/8/2020,5
1/9/2020,30
1/10/2020,0.5
1/13/2020,40
1/14/2020,36.5
1/15/2020,24
1/16/2020,255
1/17/2020,56
1/18/2020,18
1/20/2020,83
1/21/2020,235
1/22/2020,30.5
1/23/2020,0.5
1/24/2020,30.5
1/26/2020,5
1/27/2020,5
